smart,fortwo,9.45,微型,3门2座单厢,260L,1年2个月,1.30万公里,1.0L,4.4L,1.0L/双离合,后轮驱动,3门2座单厢,2695mm*1663mm*1555mm,2017年07月,北京,
大众,朗境,14.38,紧凑型,- -,- -,1个月,0.02万公里,1.4L,5.7L,1.4L/- -,- -,- -,- -,2018年08月,上海,
标致,3008(进口),8.48,紧凑型SUV,5门5座两厢,1128L,4年9个月,8.10万公里,1.6L,7.7L,1.6L/手自一体,前轮驱动,5门5座两厢,4365mm*1837mm*1639mm,2013年12月,上海,
福特,锐界(进口),17.98,中型SUV,5门5座两厢,- -,4年10个月,4.80万公里,2.0L,Null,2.0L/手自一体,前轮驱动,5门5座两厢,4699mm*1930mm*1705mm,2013年11月,上海,
讴歌,MDX,21.98,中大型SUV,5门7座两厢,425L,6年5个月,7.30万公里,3.7L,11.7L,3.7L/手自一体,全时四驱,5门7座两厢,4880mm*1990mm*1733mm,2012年04月,上海,
福特,金牛座,20.98,中型,4门5座三厢,507L,1年8个月,3.40万公里,2.0L,7.9L,2.0L/手自一体,前轮驱动,4门5座三厢,4996mm*1878mm*1503mm,2017年01月,上海,
奇瑞,瑞虎3,6.28,小型SUV,5门5座两厢,550L,2年8个月,1.71万公里,1.6L,8.2L,1.6L/CVT无级变速,前轮驱动,5门5座两厢,4420mm*1760mm*1670mm,2016年01月,河北 石家庄,
众泰,2008,1.40,小型SUV,5门5座两厢,454L,7年8个月,10.00万公里,1.3L,6.7L,1.3L/手动,后轮驱动,5门5座两厢,3900mm*1555mm*1670mm,2011年01月,河北 石家庄,
雪佛兰,迈锐宝,9.80,中型,4门5座三厢,544L,4年3个月,2.90万公里,2.0L,8.2L,2.0L/手自一体,前轮驱动,4门5座三厢,4869mm*1854mm*1472mm,2014年06月,河北 石家庄,
长安汽车,长安CS35,5.80,小型SUV,5门5座两厢,- -,2年8个月,2.91万公里,1.6L,6.8L,1.6L/手动,前轮驱动,5门5座两厢,4160mm*1810mm*1670mm,2016年01月,河北 石家庄,
宝马,3系,13.80,中型,4门5座三厢,460L,6年5个月,8.50万公里,2.0L,8.7L,2.0L/手自一体,后轮驱动,4门5座三厢,4531mm*1817mm*1421mm,2012年04月,上海,
现代,雅绅特,2.80,小型,5座三厢,390L,7年11个月,5.66万公里,1.4L,6.8L,1.4L/手动,前轮驱动,5座三厢,4310mm*1695mm*1480mm,2010年10月,河北 石家庄,
大众,朗逸,6.00,紧凑型,4门5座三厢,472L,0个月,7.50万公里,1.6L,7.7L,1.6L/手自一体,前轮驱动,4门5座三厢,4608mm*1743mm*1465mm,2018年09月,辽宁 营口,
大众,凌渡,14.68,紧凑型,4门5座三厢,480L,1年2个月,0.90万公里,1.4L,5.5L,1.4L/双离合,前轮驱动,4门5座三厢,4598mm*1826mm*1425mm,2017年07月,浙江 台州,
现代,名图,9.90,中型,4门5座三厢,526L,3年4个月,3.21万公里,1.8L,7.3L,1.8L/手自一体,前轮驱动,4门5座三厢,4710mm*1820mm*1470mm,2015年05月,河北 石家庄,
奥迪,A6L,27.50,中大型,4门5座三厢,470L,2年5个月,6.19万公里,1.8L,6.5L,1.8L/双离合,前轮驱动,4门5座三厢,5036mm*1874mm*1466mm,2016年04月,河北 石家庄,
福特,蒙迪欧,8.88,中型,4门5座三厢,450L,3年7个月,6.00万公里,2.3L,10.1L,2.3L/手自一体,前轮驱动,4门5座三厢,4854mm*1886mm*1495mm,2015年02月,河北 石家庄,
江淮,瑞风M4,11.80,MPV,4门7座单厢,- -,10个月,0.82万公里,2.0L,9.5L,2.0L/手动,- -,4门7座单厢,5200mm*1890mm*1970mm,2017年11月,河北 石家庄,
别克,GL8,16.98,MPV,5门7座两厢,680L,1年4个月,4.70万公里,2.4L,10.2L,2.4L/手自一体,前轮驱动,5门7座两厢,5213mm*1847mm*1750mm,2017年05月,上海,
大众,帕萨特,11.80,中型,5座三厢,490L,6年6个月,9.30万公里,1.8L,Null,1.8L/手自一体,前轮驱动,5座三厢,4870mm*1834mm*1472mm,2012年03月,河北 石家庄,
大众,帕萨特,10.80,中型,4门5座三厢,490L,5年8个月,8.15万公里,1.4L,6.7L,1.4L/手动,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2013年01月,河北 石家庄,
大众,帕萨特,15.98,中型,4门5座三厢,490L,4年7个月,7.12万公里,1.8L,7.6L,1.8L/双离合,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2014年02月,河北 石家庄,
大众,POLO,8.98,小型,5门5座两厢,250L,1年4个月,2.08万公里,1.6L,6.2L,1.6L/自动,前轮驱动,5门5座两厢,3970mm*1682mm*1462mm,2017年05月,浙江 台州,
大众,POLO,5.90,小型,5门5座两厢,250L,2年8个月,1.77万公里,1.4L,5.8L,1.4L/手动,前轮驱动,5门5座两厢,3970mm*1682mm*1462mm,2016年01月,河北 石家庄,
日产,轩逸,10.70,紧凑型,4门5座三厢,510L,2年1个月,2.00万公里,1.6L,5.6L,1.6L/CVT无级变速,前轮驱动,4门5座三厢,4631mm*1760mm*1503mm,2016年08月,河北 石家庄,
大众,桑塔纳,6.10,紧凑型,4门5座三厢,466L,3年2个月,3.87万公里,1.6L,6.0L,1.6L/手动,前轮驱动,4门5座三厢,4473mm*1706mm*1469mm,2015年07月,河北 石家庄,
起亚,索兰托,17.48,中型SUV,5门7座两厢,605L,2年4个月,6.90万公里,2.4L,Null,2.4L/手自一体,适时四驱,5门7座两厢,4780mm*1890mm*1685mm,2016年05月,上海,
现代,伊兰特,3.90,紧凑型,- -,- -,5年4个月,5.00万公里,宝马,1系(进口),13.58,紧凑型,5门5座两厢,- -,6年1个月,5.32万公里,1.6L,5.6L,1.6L/手自一体,后轮驱动,5门5座两厢,4324mm*1765mm*1421mm,2012年08月,河北 石家庄,
大众,甲壳虫,14.90,紧凑型,3门4座三厢,310L,4年8个月,3.60万公里,1.4L,Null,1.4L/双离合,前轮驱动,3门4座三厢,4278mm*1808mm*1486mm,2014年01月,上海,
大众,迈腾,17.50,中型,4门5座三厢,533L,1年8个月,3.50万公里,1.8L,6.4L,1.8L/双离合,前轮驱动,4门5座三厢,4866mm*1832mm*1464mm,2017年01月,河北 石家庄,
斯巴鲁,森林人,14.00,紧凑型SUV,5门5座两厢,1541L,4年,7.80万公里,2.0L,7.7L,2.0L/CVT无级变速,全时四驱,5门5座两厢,4595mm*1810mm*1735mm,2014年09月,上海,
哈弗,H1,5.20,小型SUV,5门5座两厢,- -,3年5个月,5.44万公里,1.5L,6.4L,1.5L/半自动,前轮驱动,5门5座两厢,3898mm*1729mm*1621mm,2015年04月,河北 石家庄,
众泰,SR9,9.60,中型SUV,5门5座两厢,355L,10个月,0.20万公里,2.0L,7.9L,2.0L/手动,前轮驱动,5门5座两厢,4744mm*1929mm*1647mm,2017年11月,河北 石家庄,
长安汽车,长安CS15,5.90,小型SUV,5门5座两厢,- -,1年1个月,0.49万公里,1.5L,6.3L,1.5L/手动,前轮驱动,5门5座两厢,4100mm*1740mm*1635mm,2017年08月,河北 石家庄,
哈弗,H6,7.58,紧凑型SUV,5门5座两厢,808L,4年10个月,5.00万公里,1.5L,7.2L,1.5L/手动,前轮驱动,5门5座两厢,4649mm*1852mm*1727mm,2013年11月,河北 石家庄,
雷诺,风朗,6.98,紧凑型,4门5座三厢,496L,5年9个月,8.00万公里,2.0L,8.0L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4618mm*1813mm*1488mm,2012年12月,上海,
雪佛兰,科帕奇,10.80,中型SUV,5门7座两厢,477L,3年5个月,6.59万公里,2.4L,9.9L,2.4L/手自一体,前轮驱动,5门7座两厢,4673mm*1849mm*1753mm,2015年04月,河北 石家庄,
本田,雅阁,17.58,中型,4门5座三厢,512L,8个月,1.42万公里,2.0L,7.0L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4915mm*1845mm*1470mm,2018年01月,浙江 台州,
丰田,RAV4荣放,12.78,紧凑型SUV,5门5座两厢,1031L,4年11个月,6.30万公里,2.4L,9.4L,2.4L/自动,适时四驱,5门5座两厢,4630mm*1855mm*1720mm,2013年10月,上海,
smart,fortwo,6.30,微型,3门2座两厢,220L,6年1个月,5.00万公里,1.0L,4.9L,1.0L/半自动,后轮驱动,3门2座两厢,2695mm*1559mm*1565mm,2012年08月,辽宁 营口,
铃木,奥拓,4.10,微型,5门5座两厢,238L,4年5个月,2.81万公里,1.0L,5.7L,1.0L/自动,前轮驱动,5门5座两厢,3570mm*1600mm*1470mm,2014年04月,河北 石家庄,
沃尔沃,XC60(进口),17.50,中型SUV,5门5座两厢,1034L,6年3个月,9.50万公里,2.0L,10.4L,2.0L/双离合,前轮驱动,5门5座两厢,4627mm*1891mm*1713mm,2012年06月,河北 石家庄,
别克,昂科雷,13.98,中大型SUV,5门7座两厢,657L,7年9个月,8.10万公里,3.6L,13.1L,3.6L/自动,全时四驱,5门7座两厢,5118mm*2007mm*1842mm,2010年12月,上海,
本田,飞度,7.40,小型,5门5座两厢,- -,2年11个月,3.61万公里,1.5L,5.3L,1.5L/CVT无级变速,前轮驱动,5门5座两厢,4065mm*1695mm*1525mm,2015年10月,河北 石家庄,
大众,捷达,8.20,紧凑型,4门5座三厢,442L,1年5个月,1.50万公里,1.5L,5.7L,1.5L/自动,前轮驱动,4门5座三厢,4501mm*1704mm*1469mm,2017年04月,河北 石家庄,
哈弗,H2s,8.60,小型SUV,5门5座两厢,- -,1年1个月,1.26万公里,1.5L,7.2L,1.5L/双离合,前轮驱动,5门5座两厢,4146mm*1772mm*1638mm,2017年08月,河北 石家庄,
福特,福克斯,7.98,紧凑型,4门5座三厢,530L,3年7个月,3.20万公里,1.6L,6.7L,1.6L/双离合,前轮驱动,4门5座三厢,4534mm*1823mm*1483mm,2015年02月,上海,
大众,朗逸,11.00,紧凑型,4门5座三厢,478L,2年7个月,2.85万公里,1.4L,Null,1.4L/双离合,前轮驱动,4门5座三厢,4605mm*1765mm*1460mm,2016年02月,河北 石家庄,
大众,朗行,8.00,紧凑型,5门5座两厢,412L,3年2个月,2.29万公里,1.6L,6.9L,1.6L/手自一体,前轮驱动,5门5座两厢,4454mm*1765mm*1460mm,2015年07月,河北 石家庄,
英菲尼迪,ESQ,12.68,小型SUV,5门5座两厢,- -,2年10个月,4.30万公里,1.6L,6.7L,1.6L/CVT无级变速,前轮驱动,5门5座两厢,4170mm*1770mm*1570mm,2015年11月,上海,
大众,途观L,28.98,中型SUV,5门5座两厢,495L,1年6个月,0.60万公里,2.0L,8.2L,2.0L/双离合,全时四驱,5门5座两厢,4712mm*1839mm*1673mm,2017年03月,上海,
铃木,北斗星X5,2.95,MPV,5门5座两厢,890L,5年3个月,4.84万公里,1.4L,5.3L,1.4L/手动,前轮驱动,5门5座两厢,3664mm*1610mm*1722mm,2013年06月,河北 石家庄,
丰田,花冠,6.30,紧凑型,4门5座三厢,430L,5年5个月,5.00万公里,1.6L,6.5L,1.6L/手动,前轮驱动,4门5座三厢,4555mm*1705mm*1490mm,2013年04月,辽宁 营口,
本田,奥德赛,24.90,MPV,5门7座两厢,- -,2年11个月,4.00万公里,2.4L,7.8L,2.4L/CVT无级变速,前轮驱动,5门7座两厢,4845mm*1805mm*1695mm,2015年10月,辽宁 营口,
别克,英朗,6.88,紧凑型,4门5座三厢,455L,5年1个月,5.63万公里,1.6L,7.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4671mm*1815mm*1478mm,2013年08月,上海,
丰田,威驰,7.98,小型,4门5座三厢,506L,10个月,1.36万公里,1.5L,5.1L,1.5L/CVT无级变速,前轮驱动,4门5座三厢,4420mm*1700mm*1490mm,2017年11月,上海,
丰田,威驰,6.50,小型,4门5座三厢,506L,4年10个月,4.00万公里,1.5L,5.7L,1.5L/自动,前轮驱动,4门5座三厢,4410mm*1700mm*1490mm,2013年11月,辽宁 营口,
起亚,智跑,11.98,紧凑型SUV,5门5座两厢,- -,2年10个月,3.70万公里,2.0L,7.8L,2.0L/手自一体,前轮驱动,5门5座两厢,4450mm*1855mm*1660mm,2015年11月,河北 石家庄,
本田,雅阁,13.70,中型,4门5座三厢,512L,4年4个月,6.40万公里,2.0L,7.6L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4930mm*1845mm*1470mm,2014年05月,辽宁 营口,
雪佛兰,科沃兹,5.80,紧凑型,4门5座三厢,405L,1年11个月,3.38万公里,1.5L,5.4L,1.5L/手动,前轮驱动,4门5座三厢,4544mm*1779mm*1467mm,2016年10月,河北 石家庄,
哈弗,H6,6.20,紧凑型SUV,5门5座两厢,808L,3年2个月,3.00万公里,1.5L,8.2L,1.5L/手动,前轮驱动,5门5座两厢,4640mm*1825mm*1690mm,2015年07月,河北 石家庄,
MINI,别克,英朗,7.60,紧凑型,4门5座三厢,- -,1年10个月,2.31万公里,1.5L,5.6L,1.5L/手动,前轮驱动,4门5座三厢,4587mm*1798mm*1463mm,2016年11月,河北 石家庄,
别克,英朗,5.58,紧凑型,4门5座三厢,455L,7年11个月,6.77万公里,1.8L,7.9L,1.8L/手自一体,前轮驱动,4门5座三厢,4671mm*1815mm*1478mm,2010年10月,浙江 台州,
大众,途观,18.28,紧凑型SUV,5门5座两厢,400L,1年9个月,1.82万公里,1.8L,8.6L,1.8L/手自一体,前轮驱动,5门5座两厢,4506mm*1809mm*1685mm,2016年12月,浙江 台州,
Jeep,自由客,16.80,SUV,5门5座两厢,536L,3年8个月,5.18万公里,2.4L,9.0L,2.4L/手自一体,适时四驱,5门5座两厢,4424mm*1808mm*1667mm,2015年01月,河北 石家庄,
大众,朗逸,8.98,紧凑型,4门5座三厢,478L,4年7个月,1.16万公里,1.4L,5.7L,1.4L/双离合,前轮驱动,4门5座三厢,4605mm*1765mm*1460mm,2014年02月,上海,
奥迪,A5,25.50,中型,5门5座两厢,480L,5年5个月,5.80万公里,3.0L,Null,3.0L/双离合,全时四驱,5门5座两厢,4712mm*1854mm*1391mm,2013年04月,上海,
日产,逍客,9.98,紧凑型SUV,5门5座两厢,352L,4年8个月,5.38万公里,2.0L,8.2L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4315mm*1783mm*1606mm,2014年01月,河北 石家庄,
奔驰,SLK级,25.80,跑车,2门2座三厢,110L,5年1个月,6.33万公里,1.8L,8.4L,1.8L/手自一体,后轮驱动,2门2座三厢,4139mm*1817mm*1291mm,2013年08月,浙江 台州,
江淮,瑞风,6.80,客车,4门7座单厢,- -,2年5个月,2.13万公里,2.0L,9.5L,2.0L/手动,后轮驱动,4门7座单厢,5035mm*1820mm*1970mm,2016年04月,河北 石家庄,
丰田,花冠,7.10,紧凑型,4门5座三厢,430L,5年,3.44万公里,1.6L,6.5L,1.6L/自动,前轮驱动,4门5座三厢,4555mm*1705mm*1490mm,2013年09月,河北 石家庄,
大众,迈腾,17.20,中型,4门5座三厢,565L,2年4个月,3.50万公里,1.8L,7.8L,1.8L/双离合,前轮驱动,4门5座三厢,4865mm*1820mm*1475mm,2016年05月,河北 石家庄,
大众,迈腾,15.80,中型,4门5座三厢,565L,4年4个月,7.81万公里,1.8L,7.8L,1.8L/双离合,前轮驱动,4门5座三厢,4865mm*1820mm*1475mm,2014年05月,河北 石家庄,
别克,GL8,23.98,MPV,5门7座两厢,- -,5年3个月,8.38万公里,3.0L,Null,3.0L/手自一体,前轮驱动,5门7座两厢,5256mm*1878mm*1800mm,2013年06月,河北 石家庄,
大众,桑塔纳,5.98,紧凑型,4门5座三厢,466L,3年5个月,7.23万公里,1.6L,6.0L,1.6L/手动,前轮驱动,4门5座三厢,4473mm*1706mm*1469mm,2015年04月,河北 石家庄,
大众,桑塔纳,4.95,紧凑型,4门5座三厢,466L,4年10个月,1.72万公里,1.6L,6.0L,1.6L/手动,前轮驱动,4门5座三厢,4473mm*1706mm*1469mm,2013年11月,河北 石家庄,
日产,骊威,4.60,小型,5门5座两厢,383L,5年10个月,6.80万公里,1.6L,7.4L,1.6L/手动,前轮驱动,5门5座两厢,4275mm*1730mm*1615mm,2012年11月,辽宁 营口,
日产,骐达,8.20,紧凑型,5门5座两厢,310L,4年11个月,5.00万公里,1.6L,6.2L,1.6L/CVT无级变速,前轮驱动,5门5座两厢,4295mm*1760mm*1520mm,2013年10月,辽宁 营口,
福特,蒙迪欧,10.20,中型,4门5座三厢,450L,5年6个月,5.95万公里,2.0L,7.9L,2.0L/双离合,前轮驱动,4门5座三厢,4854mm*1886mm*1495mm,2013年03月,河北 石家庄,
现代,伊兰特,3.70,紧凑型,4门5座三厢,368L,7年3个月,4.57万公里,1.6L,6.9L,1.6L/手动,前轮驱动,4门5座三厢,4545mm*1725mm*1425mm,2011年06月,河北 石家庄,
宝马,X1(进口),14.48,紧凑型SUV,5门5座两厢,930L,7年2个月,5.60万公里,3.0L,9.6L,3.0L/手自一体,全时四驱,5门5座两厢,4454mm*1798mm*1545mm,2011年07月,上海,
雪铁龙,世嘉,6.00,紧凑型,4门5座三厢,481L,4年,4.90万公里,1.6L,7.3L,1.6L/手动,前轮驱动,4门5座三厢,4588mm*1773mm*1486mm,2014年09月,河北 石家庄,
道奇,酷威,16.28,中型SUV,5门7座两厢,- -,3年1个月,2.40万公里,2.4L,9.6L,2.4L/手自一体,前轮驱动,5门7座两厢,4910mm*1878mm*1751mm,2015年08月,上海,
斯柯达,晶锐,4.90,小型,5门5座两厢,863L,6年1个月,5.11万公里,1.4L,6.4L,1.4L/手动,前轮驱动,5门5座两厢,4003mm*1642mm*1500mm,2012年08月,河北 石家庄,
奥迪,A4L,18.98,中型,4门5座三厢,480L,4年2个月,6.81万公里,2.0L,6.6L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4761mm*1826mm*1439mm,2014年07月,河北 石家庄,
奥迪,A4L,21.98,中型,4门5座三厢,480L,4年6个月,5.74万公里,2.0L,7.6L,2.0L/双离合,全时四驱,4门5座三厢,4761mm*1826mm*1439mm,2014年03月,河北 石家庄,
本田,雅阁,14.80,中型,4门5座三厢,512L,4年4个月,5.00万公里,2.0L,7.6L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4930mm*1845mm*1470mm,2014年05月,河北 石家庄,
大众,帕萨特,13.20,中型,4门5座三厢,490L,5年4个月,8.70万公里,1.8L,7.6L,1.8L/双离合,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2013年05月,辽宁 营口,
起亚,智跑,9.18,紧凑型SUV,5门5座两厢,- -,5年8个月,7.56万公里,2.0L,7.9L,2.0L/手自一体,前轮驱动,5门5座两厢,4440mm*1855mm*1660mm,2013年01月,上海,
别克,凯越,6.30,紧凑型,4门5座三厢,405L,2年5个月,1.50万公里,1.5L,7.6L,1.5L/手自一体,前轮驱动,4门5座三厢,4515mm*1725mm*1445mm,2016年04月,河北 石家庄,
广汽传祺,传祺GS4,11.50,紧凑型SUV,5门5座两厢,450L,1年2个月,2.00万公里,1.5L,7.2L,1.5L/手自一体,前轮驱动,5门5座两厢,4510mm*1852mm*1708mm,2017年07月,河北 石家庄,
大众,途观,11.48,紧凑型SUV,5门5座两厢,400L,7年6个月,8.00万公里,1.8L,9.3L,1.8L/手自一体,全时四驱,5门5座两厢,4525mm*1809mm*1685mm,2011年03月,上海,
众泰,大迈X5,7.78,紧凑型SUV,- -,- -,1年5个月,2.40万公里,1.5L,7.6L,1.5L/- -,- -,- -,- -,2017年04月,上海,
起亚,佳乐,6.98,MPV,5门7座两厢,400L,5年6个月,6.80万公里,2.0L,8.7L,2.0L/手自一体,前轮驱动,5门7座两厢,4545mm*1820mm*1700mm,2013年03月,上海,
荣威,350,6.80,紧凑型,4门5座三厢,458L,1年3个月,0.52万公里,1.5L,6.9L,1.5L/手自一体,前轮驱动,4门5座三厢,4521mm*1788mm*1492mm,2017年06月,河北 石家庄,
福特,福克斯,8.48,紧凑型,5门5座两厢,356L,5年10个月,3.50万公里,2.0L,6.8L,2.0L/双离合,前轮驱动,5门5座两厢,4368mm*1823mm*1483mm,2012年11月,上海,
荣威,350,6.38,紧凑型,4门5座三厢,458L,3年2个月,3.30万公里,1.5L,6.9L,1.5L/手自一体,前轮驱动,4门5座三厢,4521mm*1788mm*1492mm,2015年07月,上海,
现代,领动,10.18,紧凑型,4门5座三厢,462L,1年3个月,2.47万公里,1.4L,5.3L,1.4L/双离合,前轮驱动,4门5座三厢,4610mm*1800mm*1450mm,2017年06月,浙江 台州,
日产,骐达,7.50,紧凑型,5门5座两厢,310L,4年1个月,5.51万公里,1.6L,6.2L,1.6L/CVT无级变速,前轮驱动,5门5座两厢,4295mm*1760mm*1523mm,2014年08月,浙江 台州,
别克,凯越,4.30,紧凑型,4门5座三厢,405L,5年5个月,5.20万公里,1.6L,8.0L,1.6L/自动,前轮驱动,4门5座三厢,4515mm*1725mm*1445mm,2013年04月,河北 石家庄,
大众,朗逸,12.38,紧凑型,- -,- -,0个月,百公里内,1.6L,6.4L,1.6L/- -,- -,- -,- -,2018年09月,上海,
东风风行,菱智,4.90,MPV,4门7座两厢,- -,4年3个月,4.00万公里,2.0L,7.9L,2.0L/手动,后轮驱动,4门7座两厢,5115mm*1720mm*1960mm,2014年06月,河北 石家庄,
五菱,宏光,2.60,客车,- -,- -,7年,6.00万公里,1.2L,Null,1.2L/- -,- -,- -,- -,2011年09月,河北 石家庄,
东风风行,菱智,4.25,MPV,4门7座两厢,- -,3年11个月,4.00万公里,1.6L,8.4L,1.6L/手动,后轮驱动,4门7座两厢,4645mm*1695mm*1940mm,2014年10月,河北 石家庄,
宝马,1系(进口),25.98,紧凑型,5门5座两厢,360L,4年8个月,5.62万公里,3.0L,7.7L,3.0L/手自一体,后轮驱动,5门5座两厢,4340mm*1765mm*1458mm,2014年01月,上海,
大众,帕萨特,13.30,中型,4门5座三厢,490L,4年10个月,8.52万公里,1.8L,7.6L,1.8L/双离合,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2013年11月,河北 石家庄,
大众,桑塔纳,6.98,紧凑型,4门5座三厢,466L,3年7个月,2.62万公里,1.6L,6.2L,1.6L/自动,前轮驱动,4门5座三厢,4473mm*1706mm*1469mm,2015年02月,上海,
大众,途安,10.60,MPV,5门5座两厢,620L,2年8个月,4.52万公里,1.4L,6.9L,1.4L/双离合,前轮驱动,5门5座两厢,4395mm*1794mm*1658mm,2016年01月,上海,
比亚迪,元,5.28,小型SUV,5门5座两厢,- -,1年8个月,3.21万公里,1.5L,Null,1.5L/手动,前轮驱动,5门5座两厢,4360mm*1785mm*1650mm,2017年01月,山东 济宁,
雪佛兰,科鲁兹,4.20,紧凑型,4门5座三厢,400L,7年2个月,7.00万公里,1.6L,7.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4598mm*1797mm*1477mm,2011年07月,辽宁 营口,
日产,阳光,5.88,紧凑型,4门5座三厢,490L,3年2个月,5.36万公里,1.5L,5.8L,1.5L/CVT无级变速,前轮驱动,4门5座三厢,4456mm*1696mm*1514mm,2015年07月,山东 济宁,
名爵,3,4.20,小型,5门5座两厢,256L,4年2个月,7.00万公里,1.5L,6.2L,1.5L/半自动,前轮驱动,5门5座两厢,4018mm*1728mm*1517mm,2014年07月,河南 濮阳,
广汽传祺,传祺GS5,7.80,紧凑型SUV,5门5座两厢,480L,4年4个月,5.99万公里,2.0L,Null,2.0L/手自一体,前轮驱动,5门5座两厢,4732mm*1854mm*1680mm,2014年05月,内蒙古 呼和浩特,
五菱,荣光,3.00,面包车,5门5座单厢,- -,4年1个月,4.00万公里,1.2L,6.6L,1.2L/手动,后轮驱动,5门5座单厢,4135mm*1660mm*1870mm,2014年08月,辽宁 大连,
哈弗,H5,4.50,紧凑型SUV,5门5座两厢,- -,5年9个月,6.28万公里,2.0L,9.8L,2.0L/手动,后轮驱动,5门5座两厢,4649mm*1810mm*1745mm,2012年12月,内蒙古 呼和浩特,
福特,蒙迪欧,10.98,中型,4门5座三厢,516L,5年,8.40万公里,1.5L,6.9L,1.5L/手自一体,前轮驱动,4门5座三厢,4860mm*1854mm*1480mm,2013年09月,辽宁 大连,
五菱,宏光S1,4.90,MPV,5门7座单厢,- -,2年1个月,1.70万公里,1.5L,6.8L,1.5L/手动,后轮驱动,5门7座单厢,4500mm*1721mm*1730mm,2016年08月,辽宁 沈阳,
本田,奥德赛,20.90,MPV,5门7座两厢,- -,3年2个月,4.82万公里,2.4L,7.8L,2.4L/CVT无级变速,前轮驱动,5门7座两厢,4830mm*1805mm*1695mm,2015年07月,辽宁 沈阳,
日产,轩逸,6.10,紧凑型,- -,- -,1年3个月,2.37万公里,1.6L,6.5L,1.6L/- -,- -,- -,- -,2017年06月,辽宁 沈阳,
宝骏,730,6.38,MPV,5门7座单厢,- -,2年,2.61万公里,1.5L,6.9L,1.5L/手动,前轮驱动,5门7座单厢,4710mm*1785mm*1745mm,2016年09月,辽宁 沈阳,
中华,骏捷FSV,2.70,紧凑型,4门5座三厢,440L,6年8个月,7.43万公里,1.5L,6.3L,1.5L/手动,前轮驱动,4门5座三厢,4510mm*1758mm*1460mm,2012年01月,辽宁 沈阳,
吉利,GX7,3.60,紧凑型SUV,5门5座两厢,- -,5年9个月,8.64万公里,1.8L,Null,1.8L/手动,前轮驱动,5门5座两厢,4541mm*1833mm*1700mm,2012年12月,辽宁 沈阳,
宝马,3系(进口),14.88,中型,4门5座三厢,460L,6年3个月,9.00万公里,2.0L,8.8L,2.0L/手自一体,后轮驱动,4门5座三厢,4531mm*1817mm*1421mm,2012年06月,辽宁 大连,
现代,名图,10.68,中型,4门5座三厢,526L,3年8个月,5.68万公里,1.8L,7.3L,1.8L/手自一体,前轮驱动,4门5座三厢,4710mm*1820mm*1470mm,2015年01月,山东 济宁,
吉利,帝豪,5.88,紧凑型,4门5座三厢,680L,3年6个月,3.31万公里,1.5L,5.9L,1.5L/CVT无级变速,前轮驱动,4门5座三厢,4631mm*1789mm*1470mm,2015年03月,广东 东莞,
众泰,SR9,12.50,中型SUV,5门5座两厢,355L,1年2个月,1.14万公里,2.0L,8.6L,2.0L/双离合,前轮驱动,5门5座两厢,4744mm*1929mm*1647mm,2017年07月,广东 东莞,
丰田,花冠,6.80,紧凑型,4门5座三厢,430L,4年10个月,5.00万公里,1.6L,6.5L,1.6L/自动,前轮驱动,4门5座三厢,4555mm*1705mm*1490mm,2013年11月,辽宁 大连,
大众,迈腾,12.80,中型,4门5座三厢,565L,6年,8.15万公里,1.8L,7.8L,1.8L/双离合,前轮驱动,4门5座三厢,4865mm*1820mm*1475mm,2012年09月,辽宁 大连,
丰田,RAV4荣放,17.58,紧凑型SUV,5门5座两厢,- -,1年3个月,0.80万公里,2.0L,6.4L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4600mm*1845mm*1690mm,2017年06月,山东 济宁,
奥迪,A4L,22.98,中型,4门5座三厢,480L,2年2个月,4.69万公里,2.0L,7.4L,2.0L/双离合,全时四驱,4门5座三厢,4761mm*1826mm*1439mm,2016年07月,山东 济宁,
福特,蒙迪欧,14.88,中型,4门5座三厢,516L,3年3个月,5.59万公里,2.0L,7.9L,2.0L/手自一体,前轮驱动,4门5座三厢,4860mm*1854mm*1480mm,2015年06月,山东 济宁,
大众,迈腾,14.98,中型,4门5座三厢,565L,3年7个月,4.12万公里,1.8L,7.8L,1.8L/双离合,前轮驱动,4门5座三厢,4865mm*1820mm*1475mm,2015年02月,山东 济宁,
大众,迈腾,13.88,中型,4门5座三厢,565L,5年9个月,7.55万公里,1.8L,7.8L,1.8L/双离合,前轮驱动,4门5座三厢,4865mm*1820mm*1475mm,2012年12月,山东 济宁,
丰田,RAV4荣放,16.88,紧凑型SUV,5门5座两厢,- -,1年11个月,3.09万公里,2.0L,6.4L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4600mm*1845mm*1690mm,2016年10月,广东 东莞,
